t,data,preco_real,preco_previsto,retorno_pred,acao,energia,pontuacao,erro
9932,2024-12-05 21:00:00+00:00,98908.0234375,98835.6816274017,-0.0007314048707485199,-1,0.9576701261483133,0.0,0.004983584862202406
9933,2024-12-05 22:00:00+00:00,96589.0390625,96593.07914627565,4.182755947113037e-05,-1,0.9068701261483132,0.0,0.013360422104597092
9934,2024-12-05 23:00:00+00:00,96945.6328125,97145.58060589412,0.0020624734461307526,0,0.8560701261483131,0.0,0.008145351894199848
9935,2024-12-06 00:00:00+00:00,97551.9921875,97611.0869315028,0.0006057769060134888,1,0.865923077008873,1.0,0.0003367622848600149
9936,2024-12-06 01:00:00+00:00,98118.3828125,98121.86219223586,3.546103835105896e-05,1,0.818518647637218,1.0,0.0055925315245985985
9937,2024-12-06 02:00:00+00:00,97589.7421875,97635.9944879415,0.00047394633293151855,0,0.7758581387494999,1.0,0.0050232610665261745
9938,2024-12-06 03:00:00+00:00,97735.2890625,97765.73446264642,0.00031150877475738525,1,0.7825543764000136,2.0,0.0011259405873715878
9939,2024-12-06 04:00:00+00:00,97877.5,97902.72309847176,0.00025770068168640137,1,0.7866332176362473,3.0,0.0017802896909415722
9940,2024-12-06 05:00:00+00:00,97864.0078125,97906.66344679176,0.00043586641550064087,0,0.7922748027858633,4.0,0.0013896037125959992
9941,2024-12-06 06:00:00+00:00,98079.9609375,98084.0831132207,4.2028725147247314e-05,1,0.7933027113613981,5.0,0.002543022856116295
9942,2024-12-06 07:00:00+00:00,98138.5390625,98159.41377997171,0.00021270662546157837,0,0.8016935449187952,6.0,0.0007022916106507182
9943,2024-12-06 08:00:00+00:00,98345.3828125,98371.23353399057,0.00026285648345947266,1,0.7508935449187951,6.0,0.010210239328444004
9944,2024-12-06 09:00:00+00:00,98000.0,98038.81733119488,0.0003960952162742615,0,0.700093544918795,6.0,0.0060407365672290325
9945,2024-12-06 10:00:00+00:00,98124.78125,98118.09984964249,-6.809085607528687e-05,1,0.649293544918795,6.0,0.010828373953700066
9946,2024-12-06 11:00:00+00:00,98069.6171875,98095.71253541287,0.0002660900354385376,0,0.5984935449187949,6.0,0.012647902593016624
9947,2024-12-06 12:00:00+00:00,97636.2890625,97647.36298880278,0.00011342018842697144,-1,0.5476935449187949,6.0,0.017008943483233452
9948,2024-12-06 13:00:00+00:00,98591.9921875,98657.50827031734,0.0006645172834396362,1,0.49689354491879484,6.0,0.01984216645359993
9949,2024-12-06 14:00:00+00:00,99481.6875,99628.8757497305,0.0014795511960983276,1,0.4460935449187948,6.0,0.015920724719762802
9950,2024-12-06 15:00:00+00:00,99309.9921875,99360.39238074305,0.0005075037479400635,-1,0.3952935449187948,6.0,0.02444799244403839
9951,2024-12-06 16:00:00+00:00,99004.0703125,99075.27596511994,0.000719219446182251,-1,0.3444935449187948,6.0,0.026796292513608932
9952,2024-12-06 17:00:00+00:00,100844.046875,100908.41474670009,0.0006382912397384644,1,0.2936935449187948,6.0,0.007680881768465042
9953,2024-12-06 18:00:00+00:00,101363.953125,101507.54316109163,0.0014165788888931274,-1,0.24719507898415063,6.0,0.005483815912157297
9954,2024-12-06 19:00:00+00:00,101439.9921875,101618.06576954774,0.0017554573714733124,-1,0.19639507898415065,6.0,0.013750281184911728
9955,2024-12-06 20:00:00+00:00,101360.0,101530.94235748053,0.0016864873468875885,-1,0.14559507898415064,6.0,0.007733940612524748
9956,2024-12-06 21:00:00+00:00,100372.0078125,100599.99641997943,0.0022714361548423767,-1,0.1557358476358149,7.0,0.00026480783708393574
9957,2024-12-06 22:00:00+00:00,100504.0,100657.47786691785,0.0015270821750164032,-1,0.1560912966089938,8.0,0.002711137756705284
9958,2024-12-06 23:00:00+00:00,99740.84375,99770.77839967562,0.00030012428760528564,-1,0.16159700412327985,9.0,0.0014235731214284897
9959,2024-12-07 00:00:00+00:00,100272.0078125,100364.6504212677,0.0009239129722118378,-1,0.12118629117906034,9.0,0.004753285553306341
9960,2024-12-07 01:00:00+00:00,100044.3125,100166.75891261548,0.001223921775817871,-1,0.0713910830286636,9.0,0.005879424978047609
9961,2024-12-07 02:00:00+00:00,99930.0078125,100024.52226376347,0.0009458065032958984,-1,0.07082507399593731,10.0,0.002941502258181572
9962,2024-12-07 03:00:00+00:00,99299.6328125,99408.98041246872,0.0011011883616447449,1,0.07427767018427392,11.0,0.0019368509529158473
9963,2024-12-07 04:00:00+00:00,99494.5703125,99548.83735771698,0.0005454272031784058,0,0.08226895238732239,12.0,0.0008021794492378831
9964,2024-12-07 05:00:00+00:00,99155.9765625,99242.78494499624,0.0008754730224609375,-1,0.03146895238732239,12.0,0.008249305188655853
9965,2024-12-07 06:00:00+00:00,99336.2734375,99316.74037754117,-0.00019663572311401367,1,0.03844965739597818,13.0,0.0010548237478360534
9966,2024-12-07 07:00:00+00:00,99405.203125,99459.75619008974,0.0005487948656082153,0,0.04100637202461501,14.0,0.0021608213428407907
9967,2024-12-07 08:00:00+00:00,99414.7578125,99499.22178940201,0.0008496120572090149,1,0.040693597981829845,15.0,0.002878193510696292
9968,2024-12-07 09:00:00+00:00,99676.4765625,99807.02510271943,0.001309722661972046,1,0.0,15.0,0.0062753623351454735
9969,2024-12-07 10:00:00+00:00,99529.5,99597.36911508814,0.0006818994879722595,-1,0.001780264478921891,16.0,0.0023549338802695274
9970,2024-12-07 11:00:00+00:00,99620.0,99626.258456707,6.282329559326172e-05,-1,0.0,16.0,0.004365266300737858
9971,2024-12-07 12:00:00+00:00,99426.8671875,99486.91841681069,0.0006039738655090332,-1,0.0,16.0,0.004958176054060459
9972,2024-12-07 13:00:00+00:00,99350.0,99335.84338463843,-0.0001424923539161682,-1,0.0,16.0,0.005838135257363319
9973,2024-12-07 14:00:00+00:00,99465.296875,99404.05894865119,-0.0006156712770462036,0,0.0,16.0,0.006615608464926481
9974,2024-12-07 15:00:00+00:00,99756.0078125,99803.25336078269,0.000473611056804657,-1,0.0,16.0,0.0062223151326179504
9975,2024-12-07 16:00:00+00:00,99621.5625,99693.68432868272,0.0007239580154418945,-1,0.0,16.0,0.009946365840733051
9976,2024-12-07 17:00:00+00:00,99631.96875,99685.05547968415,0.0005328282713890076,0,0.0016517345130443572,17.0,0.0023870663717389107
9977,2024-12-07 18:00:00+00:00,100123.3203125,100197.93217282247,0.0007451996207237244,-1,0.0037493210822343833,18.0,0.0022756033577024937
9978,2024-12-07 19:00:00+00:00,100077.453125,100189.94187768397,0.0011240169405937195,0,0.005138482233881952,19.0,0.002452709712088108
9979,2024-12-07 20:00:00+00:00,100313.5703125,100408.66278924048,0.0009479522705078125,-1,0.014972893255949022,20.0,0.0003413972444832325
9980,2024-12-07 21:00:00+00:00,99869.796875,100022.04992332438,0.001524515450000763,0,0.025314275309443475,21.0,0.00021465448662638664
9981,2024-12-07 22:00:00+00:00,99595.109375,99643.15952313296,0.00048245489597320557,0,0.0,21.0,0.005540322978049517
9982,2024-12-07 23:00:00+00:00,99831.9921875,99895.83010734234,0.0006394535303115845,-1,0.0,21.0,0.004030011594295502
9983,2024-12-08 00:00:00+00:00,99978.3828125,100153.16395457357,0.0017481893301010132,-1,0.008096923519670963,22.0,0.0007757691200822592
9984,2024-12-08 01:00:00+00:00,99848.359375,100012.03995620017,0.0016392916440963745,-1,0.01871377961486578,23.0,0.00014578597620129585
9985,2024-12-08 02:00:00+00:00,100146.8984375,100302.21456527081,0.0015508830547332764,-1,0.023103911696374418,24.0,0.0017024669796228409
9986,2024-12-08 03:00:00+00:00,99934.8203125,100157.9694152957,0.002232946455478668,0,0.023908698666095737,25.0,0.0025988032575696707
9987,2024-12-08 04:00:00+00:00,99756.0078125,99826.95826296351,0.0007112398743629456,0,0.0,25.0,0.007778980303555727
9988,2024-12-08 05:00:00+00:00,99534.2578125,99605.53109455184,0.0007160678505897522,0,0.0,25.0,0.006532769650220871
9989,2024-12-08 06:00:00+00:00,99675.9609375,99723.32527253532,0.0004751831293106079,0,0.0,25.0,0.004281294997781515
9990,2024-12-08 07:00:00+00:00,99675.109375,99779.51751475141,0.001047484576702118,0,0.010154729060642421,26.0,0.0002613177348393947
9991,2024-12-08 08:00:00+00:00,98980.0078125,98999.98998871213,0.00020188093185424805,-1,0.0,26.0,0.012521808966994286
9992,2024-12-08 09:00:00+00:00,98884.0234375,99018.21608812344,0.0013570711016654968,-1,0.0,26.0,0.018419815227389336
9993,2024-12-08 10:00:00+00:00,99249.21875,99395.10248618317,0.0014698728919029236,1,0.003955200713872909,27.0,0.0018111998215317726
9994,2024-12-08 11:00:00+00:00,99701.15625,99839.9012033689,0.0013916082680225372,0,0.0066958580702543265,28.0,0.002114835660904646
9995,2024-12-08 12:00:00+00:00,99922.4765625,100114.81457961258,0.0019248723983764648,-1,0.009479261270165443,29.0,0.0021041492000222206
9996,2024-12-08 13:00:00+00:00,100408.796875,100453.93858248467,0.0004495792090892792,0,0.0,29.0,0.004629278555512428
9997,2024-12-08 14:00:00+00:00,99726.7265625,99821.34001366468,0.0009487271308898926,0,0.008562793190404773,30.0,0.0006593017023988068
9998,2024-12-08 15:00:00+00:00,99912.0078125,100097.5069520087,0.0018566250801086426,-1,0.0,30.0,0.004891351796686649
9999,2024-12-08 16:00:00+00:00,99832.9609375,99811.2475331747,-0.0002174973487854004,0,0.009879669573903084,31.0,0.00033008260652422905
10000,2024-12-08 17:00:00+00:00,99943.9765625,100054.99354810826,0.0011107921600341797,-1,0.0,31.0,0.003830387257039547
10001,2024-12-08 18:00:00+00:00,99660.9765625,99720.22542940715,0.000594504177570343,0,0.0,31.0,0.0056093293242156506
10002,2024-12-08 19:00:00+00:00,100100.9765625,100168.60963224317,0.0006756484508514404,-1,0.0,31.0,0.013075998052954674
10003,2024-12-08 20:00:00+00:00,99800.0078125,99991.74723171117,0.001921236515045166,0,0.005442548011243344,32.0,0.0014393629971891642
10004,2024-12-08 21:00:00+00:00,100026.96875,100117.38655201066,0.0009039342403411865,0,0.0,32.0,0.004982952959835529
10005,2024-12-08 22:00:00+00:00,100220.0078125,100292.75479165564,0.000725872814655304,-1,0.0,32.0,0.007218690123409033
10006,2024-12-08 23:00:00+00:00,101109.59375,101202.48175766878,0.0009186863899230957,-1,0.0,32.0,0.01696595922112465
10007,2024-12-09 00:00:00+00:00,99656.359375,99769.24724601698,0.001132771372795105,-1,0.008366186571121216,33.0,0.000708453357219696
10008,2024-12-09 01:00:00+00:00,99528.5390625,99513.95212289767,-0.00014656037092208862,-1,0.01129062087982893,34.0,0.0020688914228230715
10009,2024-12-09 02:00:00+00:00,99195.890625,99136.70540233597,-0.0005966499447822571,1,0.0,34.0,0.004524760879576206
10010,2024-12-09 03:00:00+00:00,99090.84375,98900.5760687599,-0.0019201338291168213,1,0.003595199835300446,35.0,0.0019012000411748886
10011,2024-12-09 04:00:00+00:00,99427.9921875,99384.88525258459,-0.00043354928493499756,1,0.0,35.0,0.00829874724149704
10012,2024-12-09 05:00:00+00:00,99435.8671875,99382.90161550863,-0.0005326606333255768,0,0.0,35.0,0.010356313548982143
10013,2024-12-09 06:00:00+00:00,99044.640625,99060.58529625821,0.00016098469495773315,0,0.0,35.0,0.003333014203235507
10014,2024-12-09 07:00:00+00:00,99576.5078125,99407.9437875037,-0.0016928091645240784,1,0.0,35.0,0.017943676561117172
10015,2024-12-09 08:00:00+00:00,98901.1484375,98879.96192315314,-0.0002142190933227539,1,0.0,35.0,0.006034358404576778
10016,2024-12-09 09:00:00+00:00,98406.078125,98391.70335054607,-0.00014607608318328857,1,0.0,35.0,0.0030763838440179825
10017,2024-12-09 10:00:00+00:00,98714.5234375,98724.90842234297,0.00010520219802856445,0,0.0,35.0,0.014605089090764523
10018,2024-12-09 11:00:00+00:00,98088.46875,98087.7700898638,-7.12275505065918e-06,0,0.0,36.0,0.0028185653500258923
10019,2024-12-09 12:00:00+00:00,98601.046875,98630.93035942898,0.0003030747175216675,0,0.0,36.0,0.007677244953811169
10020,2024-12-09 13:00:00+00:00,99004.03125,98961.94017816195,-0.0004251450300216675,1,0.0,36.0,0.019524501636624336
10021,2024-12-09 14:00:00+00:00,100156.2578125,100065.13213364012,-0.0009098351001739502,1,0.0,36.0,0.026758890599012375
10022,2024-12-09 15:00:00+00:00,97812.0,97720.67956191301,-0.0009336322546005249,1,0.0,36.0,0.010582705959677696
10023,2024-12-09 16:00:00+00:00,97844.0625,97810.716807344,-0.00034080445766448975,1,0.0,36.0,0.019271347671747208
10024,2024-12-09 17:00:00+00:00,97368.0390625,97402.2512101098,0.00035136938095092773,0,0.0,36.0,0.004889069125056267
10025,2024-12-09 18:00:00+00:00,97776.65625,97845.76545345644,0.0007068067789077759,0,0.0,36.0,0.008106724359095097
10026,2024-12-09 19:00:00+00:00,97070.3203125,97024.85805929569,-0.00046834349632263184,0,0.002705191661417484,37.0,0.002123702084645629
10027,2024-12-09 20:00:00+00:00,96252.0078125,96215.64484926953,-0.00037778913974761963,1,0.0,37.0,0.01378820464015007
10028,2024-12-09 21:00:00+00:00,96892.0,96829.04440045357,-0.0006497502326965332,1,0.0,37.0,0.007878091186285019
10029,2024-12-09 22:00:00+00:00,96984.0078125,96899.8350786115,-0.0008679032325744629,1,0.0,37.0,0.0063407570123672485
10030,2024-12-09 23:00:00+00:00,97276.46875,97294.76619674312,0.00018809735774993896,0,0.0,37.0,0.003541211597621441
10031,2024-12-10 00:00:00+00:00,97867.90625,97936.51338236895,0.0007010176777839661,1,0.0,37.0,0.011541487649083138
10032,2024-12-10 01:00:00+00:00,97946.0,97911.2067617476,-0.0003552287817001343,0,0.0,37.0,0.010250626131892204
10033,2024-12-10 02:00:00+00:00,96660.0078125,96681.60436578305,0.00022342801094055176,0,0.0,37.0,0.008323957212269306
10034,2024-12-10 03:00:00+00:00,96931.9921875,96908.06065868499,-0.0002468898892402649,0,0.00028738791942596435,38.0,0.002728153020143509
10035,2024-12-10 04:00:00+00:00,97031.96875,96996.26324390923,-0.00036797672510147095,-1,0.0,38.0,0.006645705550909042
10036,2024-12-10 05:00:00+00:00,96941.9921875,97008.81698963931,0.0006893277168273926,-1,0.0,38.0,0.008643677458167076
10037,2024-12-10 06:00:00+00:00,97464.6015625,97463.24072391295,-1.3962388038635254e-05,1,0.008347872112691402,39.0,0.0007130319718271494
10038,2024-12-10 07:00:00+00:00,97196.4375,97162.94898754545,-0.0003445446491241455,0,0.0,39.0,0.005412605125457048
10039,2024-12-10 08:00:00+00:00,97385.71875,97413.67027398502,0.00028701871633529663,-1,0.008409512628614902,40.0,0.0006976218428462744
10040,2024-12-10 09:00:00+00:00,97489.1015625,97582.83708271862,0.00096149742603302,-1,0.0,40.0,0.005556776188313961
10041,2024-12-10 10:00:00+00:00,97687.5,97794.78994058445,0.0010982975363731384,1,0.004625783701241016,41.0,0.001643554074689746
10042,2024-12-10 11:00:00+00:00,97722.5234375,97679.73944012646,-0.000437811017036438,0,0.0,41.0,0.02111830748617649
10043,2024-12-10 12:00:00+00:00,97161.5,97172.63879681006,0.00011464208364486694,-1,0.0,41.0,0.005663170013576746
10044,2024-12-10 13:00:00+00:00,97738.359375,97750.58889215696,0.00012512505054473877,1,0.0,41.0,0.03629656136035919
10045,2024-12-10 14:00:00+00:00,97820.0078125,97808.74760758353,-0.00011511147022247314,1,0.0,41.0,0.03047880157828331
10046,2024-12-10 15:00:00+00:00,95658.7890625,95659.47754375811,7.197260856628418e-06,1,0.0074673401460051535,42.0,0.0009331649634987116
10047,2024-12-10 16:00:00+00:00,96319.7734375,96213.0347969681,-0.0011081695556640625,1,0.011442449742555618,43.0,0.0018062226008623838
10048,2024-12-10 17:00:00+00:00,94484.0078125,94512.00292222714,0.0002962946891784668,1,0.0,43.0,0.022125862538814545
10049,2024-12-10 18:00:00+00:00,95132.03125,95152.47839121148,0.0002149343490600586,0,0.0,43.0,0.01805287040770054
10050,2024-12-10 19:00:00+00:00,95856.5,95910.58249288052,0.0005642026662826538,-1,0.0,43.0,0.010683359578251839
10051,2024-12-10 20:00:00+00:00,96434.7578125,96456.8256659467,0.00022883713245391846,-1,0.00011869094222784042,44.0,0.00277032726444304
10052,2024-12-10 21:00:00+00:00,96858.0,96939.0512111485,0.0008368045091629028,1,0.0,44.0,0.01441853679716587
10053,2024-12-10 22:00:00+00:00,96849.4375,96854.31468990492,5.0358474254608154e-05,0,0.0,44.0,0.0036949266213923693
10054,2024-12-10 23:00:00+00:00,96593.0,96664.44059184194,0.0007396042346954346,-1,0.0,44.0,0.011338384822010994
10055,2024-12-11 00:00:00+00:00,96412.609375,96395.65247898619,-0.0001758784055709839,-1,0.0,44.0,0.014765594154596329
10056,2024-12-11 01:00:00+00:00,95752.0234375,95752.02914476534,5.960464477539063e-08,-1,0.0,44.0,0.021204983815550804
10057,2024-12-11 02:00:00+00:00,97207.2890625,97277.2299566326,0.0007195025682449341,1,0.0033545237302780146,45.0,0.001961369067430496
10058,2024-12-11 03:00:00+00:00,97398.4296875,97465.61411649978,0.0006897896528244019,0,0.011933203188329935,46.0,0.00065533013548702
10059,2024-12-11 04:00:00+00:00,97546.9609375,97705.63696083875,0.0016266629099845886,1,0.01204944940879941,47.0,0.0027709384448826313
10060,2024-12-11 05:00:00+00:00,97495.1875,97660.48757018056,0.0016954690217971802,-1,0.0,47.0,0.008177739568054676
10061,2024-12-11 06:00:00+00:00,97689.5703125,97814.88176123472,0.0012827515602111816,-1,0.0,47.0,0.00837128795683384
10062,2024-12-11 07:00:00+00:00,97334.6015625,97467.33043805044,0.0013636350631713867,-1,0.0,47.0,0.012842418625950813
10063,2024-12-11 08:00:00+00:00,98109.8984375,98050.5125092204,-0.0006053000688552856,0,0.006058762715011835,48.0,0.0012853093212470412
10064,2024-12-11 09:00:00+00:00,97999.9921875,98054.81272814746,0.0005593933165073395,-1,0.0,48.0,0.010519053786993027
10065,2024-12-11 10:00:00+00:00,98214.2890625,98286.28262827854,0.0007330253720283508,0,0.0,48.0,0.013253545388579369
10066,2024-12-11 11:00:00+00:00,98292.609375,98278.83118652715,-0.0001401752233505249,-1,0.0,48.0,0.02404971420764923
10067,2024-12-11 12:00:00+00:00,98236.0,98301.25390282273,0.0006642565131187439,-1,0.0,48.0,0.026820108294487
10068,2024-12-11 13:00:00+00:00,98736.859375,98711.40304868063,-0.00025781989097595215,0,0.0,48.0,0.010584082454442978
10069,2024-12-11 14:00:00+00:00,99515.9765625,99553.88328598259,0.0003809109330177307,-1,0.0,48.0,0.011769792065024376
10070,2024-12-11 15:00:00+00:00,100361.640625,100467.6539823506,0.0010563135147094727,0,0.0,48.0,0.007583278696984053
10071,2024-12-11 16:00:00+00:00,100575.9921875,100649.52660680824,0.0007311329245567322,-1,0.0,48.0,0.009915867820382118
10072,2024-12-11 17:00:00+00:00,99781.8984375,99905.4555279353,0.0012382715940475464,-1,0.0,48.0,0.02042018249630928
10073,2024-12-11 18:00:00+00:00,100388.7109375,100472.65533123864,0.0008361935615539551,-1,0.0,48.0,0.011178521439433098
10074,2024-12-11 19:00:00+00:00,101122.7109375,101216.3237338214,0.0009257346391677856,-1,0.0,48.0,0.0030226365197449923
10075,2024-12-11 20:00:00+00:00,101271.5625,101343.13287250232,0.0007067173719406128,-1,0.003486605760455131,49.0,0.0019283485598862171
10076,2024-12-11 21:00:00+00:00,101520.1171875,101595.34560900356,0.0007410198450088501,-1,0.0,49.0,0.007084900978952646
10077,2024-12-11 22:00:00+00:00,101209.7421875,101354.47034597624,0.0014299824833869934,0,0.0,49.0,0.006076644640415907
10078,2024-12-11 23:00:00+00:00,101125.0,101244.58599090576,0.00118255615234375,-1,0.0031211994856595988,50.0,0.0020197001285851
10079,2024-12-12 00:00:00+00:00,100772.4609375,100925.03972326813,0.0015140920877456665,-1,0.006161844225227833,51.0,0.0020398388151079416
10080,2024-12-12 01:00:00+00:00,100496.296875,100642.9099915236,0.0014588907361030579,-1,0.0,51.0,0.004219572059810162
10081,2024-12-12 02:00:00+00:00,101824.7578125,101912.42554249271,0.0008609667420387268,-1,0.0,51.0,0.009181620553135872
10082,2024-12-12 03:00:00+00:00,101025.8671875,101174.67474212672,0.001472964882850647,-1,0.0023786001175642017,52.0,0.0022053499706089497
10083,2024-12-12 04:00:00+00:00,100675.703125,100814.28345343505,0.0013765022158622742,-1,0.0,52.0,0.006022545509040356
10084,2024-12-12 05:00:00+00:00,100618.859375,100663.51115529309,0.00044377148151397705,0,0.0034395884059369567,53.0,0.001940102898515761
10085,2024-12-12 06:00:00+00:00,100584.3671875,100632.43671721598,0.0004779025912284851,-1,0.0028356298409402386,54.0,0.00295098964124918
10086,2024-12-12 07:00:00+00:00,100499.9921875,100598.29769952834,0.0009781643748283386,-1,0.0076702696144580855,55.0,0.0015913400566205382
10087,2024-12-12 08:00:00+00:00,100980.0,101065.47783449292,0.0008464828133583069,-1,0.01289126390144229,56.0,0.0014947514282539487
10088,2024-12-12 09:00:00+00:00,100814.0703125,100970.26303435987,0.001549314707517624,-1,0.0,56.0,0.00397131172940135
10089,2024-12-12 10:00:00+00:00,100579.4375,100728.56766214315,0.0014827102422714233,-1,0.0,56.0,0.01416134275496006
10090,2024-12-12 11:00:00+00:00,100358.421875,100468.8882942656,0.0011007189750671387,-1,0.0,56.0,0.0173358041793108
10091,2024-12-12 12:00:00+00:00,100828.0,100901.97671703994,0.0007336921989917755,0,0.0,56.0,0.006292817182838917
10092,2024-12-12 13:00:00+00:00,100911.9921875,100965.0188710168,0.0005254745483398438,1,0.0,56.0,0.003992788959294558
10093,2024-12-12 14:00:00+00:00,101702.0390625,101870.78001361212,0.0016591697931289673,1,0.0,56.0,0.0113031305372715
10094,2024-12-12 15:00:00+00:00,101797.140625,102014.03773482319,0.0021306797862052917,-1,0.0,56.0,0.019749363884329796
10095,2024-12-12 16:00:00+00:00,101462.4921875,101459.89094814943,-2.5637447834014893e-05,-1,0.0,56.0,0.011138075962662697
10096,2024-12-12 17:00:00+00:00,101617.6484375,101704.43525468366,0.0008540526032447815,0,0.0,56.0,0.018280688673257828
10097,2024-12-12 18:00:00+00:00,100857.59375,100927.25970842666,0.0006907358765602112,-1,0.00679692107141018,57.0,0.0011007697321474552
10098,2024-12-12 19:00:00+00:00,99481.3203125,99607.03304633664,0.001263681799173355,-1,0.0,57.0,0.00825695414096117
10099,2024-12-12 20:00:00+00:00,100028.0078125,99963.0786840868,-0.0006491094827651978,1,0.0014075063437223438,58.0,0.002448123414069414
10100,2024-12-12 21:00:00+00:00,99760.0078125,99778.77983907843,0.0001881718635559082,-1,0.007122731634974481,59.0,0.001371193677186966
10101,2024-12-12 22:00:00+00:00,100444.0,100409.31323045492,-0.00034533441066741943,0,0.0,59.0,0.009547686204314232
10102,2024-12-12 23:00:00+00:00,100004.2890625,100014.14064268756,9.851157665252686e-05,-1,0.010207340520620346,60.0,0.0002481648698449135
10103,2024-12-13 00:00:00+00:00,100083.2109375,100053.92890696,-0.0002925768494606018,0,0.01810009252056479,61.0,0.0008268120000138879
10104,2024-12-13 01:00:00+00:00,99323.9375,99343.99280916294,0.00020191818475723267,-1,0.0,61.0,0.008699154481291771
10105,2024-12-13 02:00:00+00:00,99484.9921875,99551.79213156868,0.0006714574992656708,1,0.007844834056496618,62.0,0.000838791485875845
10106,2024-12-13 03:00:00+00:00,99729.09375,99876.51578888576,0.0014782249927520752,1,0.014965022781491278,63.0,0.0010199528187513351
10107,2024-12-13 04:00:00+00:00,100000.4609375,100154.28782366274,0.0015382617712020874,0,0.015303510507941244,64.0,0.0027153780683875084
10108,2024-12-13 05:00:00+00:00,99890.0,99994.54913541675,0.0010466426610946655,-1,0.0,64.0,0.005102312657982111
10109,2024-12-13 06:00:00+00:00,99700.0,99724.61046501994,0.00024684518575668335,1,0.0,64.0,0.0045989686623215675
10110,2024-12-13 07:00:00+00:00,100130.0,100199.01268593967,0.0006892308592796326,0,0.0022769127309322356,65.0,0.002230771817266941
10111,2024-12-13 08:00:00+00:00,100272.0,100331.88705003262,0.000597245991230011,1,0.00258795344978571,66.0,0.0027222398202866316
10112,2024-12-13 09:00:00+00:00,100100.0,100222.05664664507,0.0012193471193313599,-1,0.0,66.0,0.004841674119234085
10113,2024-12-13 10:00:00+00:00,100457.6171875,100530.66911960195,0.0007271915674209595,0,0.0,66.0,0.00557946739718318
10114,2024-12-13 11:00:00+00:00,100353.3671875,100518.11114640528,0.0016416385769844055,1,0.0,66.0,0.0077852001413702965
10115,2024-12-13 12:00:00+00:00,100299.8515625,100425.95636179537,0.001257278025150299,-1,0.0,66.0,0.009860989637672901
10116,2024-12-13 13:00:00+00:00,100284.3515625,100269.19732580788,-0.00015111267566680908,1,0.0,66.0,0.011494176462292671
10117,2024-12-13 14:00:00+00:00,101018.1171875,101133.41767481284,0.001141384243965149,0,0.0,66.0,0.0047297365963459015
10118,2024-12-13 15:00:00+00:00,99873.15625,99775.76450820663,-0.0009751543402671814,1,0.0,66.0,0.012912057340145111
10119,2024-12-13 16:00:00+00:00,100988.0078125,101081.11443289177,0.0009219571948051453,1,0.0,66.0,0.0038522211834788322
10120,2024-12-13 17:00:00+00:00,101737.890625,101909.53130974958,0.0016870871186256409,1,0.0,66.0,0.007268321234732866
10121,2024-12-13 18:00:00+00:00,101495.90625,101685.73826558632,0.0018703415989875793,-1,0.009786634173989296,67.0,0.000353341456502676
10122,2024-12-13 19:00:00+00:00,101462.34375,101514.97927122284,0.0005187690258026123,0,0.01948484543953091,68.0,0.0003754471836145967
10123,2024-12-13 20:00:00+00:00,101680.0,101767.53628015518,0.0008608996868133545,-1,0.027778091757930817,69.0,0.0007266884204000235
10124,2024-12-13 21:00:00+00:00,101303.640625,101491.63368714892,0.0018557384610176086,-1,0.0,69.0,0.011308098211884499
10125,2024-12-13 22:00:00+00:00,101227.28125,101354.79795611906,0.0012597069144248962,-1,0.0,69.0,0.01095564290881157
10126,2024-12-13 23:00:00+00:00,101424.25,101468.27304092236,0.00043404847383499146,0,0.0,69.0,0.006544292904436588
10127,2024-12-14 00:00:00+00:00,101301.0703125,101385.34212349163,0.00083189457654953,-1,0.0,69.0,0.006758520845323801
10128,2024-12-14 01:00:00+00:00,102145.28125,102313.02244019741,0.001642182469367981,0,0.0,69.0,0.00413611251860857
10129,2024-12-14 02:00:00+00:00,102032.609375,102167.88203145575,0.0013257786631584167,-1,0.004161648851633072,70.0,0.001759587787091732
10130,2024-12-14 03:00:00+00:00,102088.0,102218.14272582531,0.0012748092412948608,-1,0.013705666044354439,71.0,0.0004139957018196583
10131,2024-12-14 04:00:00+00:00,101681.8125,101861.20795092266,0.0017642825841903687,-1,0.0,71.0,0.0041921380907297134
